id,category,genre
388410,"2,22,28,29,23,25,41,42,43","1,25,3"
18500,"2,22,28,29,43","23,2"
238260,"2,1,22,29,18","37,28"
98800,"2,22,29,30,15,25","4,23,3"
433350,"1,20,22,29,35","1,4,37"
239660,"1,9,22,29","1,37"
612880,"2,22,28,23,43",1
248610,"2,1,9,38,27,22,29,30,23,17,44","1,23,28,2"
287980,"2,22,29,23,25,41,42","23,28,2"
261110,"2,22,28,29,23,25,43",1
389730,"2,1,49,36,37,24,22,28,29,23,25,43,44","1,18"
394310,"2,22,29,13,23","23,3,2"
291410,"2,1,49,36,27,22,29,35,41,42","37,23,2"
232430,"2,22,28,29,13,23,14,43","25,23"
214770,"2,1,24,22,28,29,30,23,25,41,42,43,44","1,25,23"
571740,"2,1,49,36,37,22,30,18,23,25,17,41,42,44","4,23,28,18,70"
301910,"2,9,22,28,29,43",1
459820,"2,22,29,35,15,25,41,42","4,37,23"
513780,"2,22,29,17","4,23"
290080,"1,9,22,29,15","1,23,3,28"
495910,"1,20,49,36,22,29","1,25,37,29,3"
300550,"2,22,29,30,23,17","25,23,3,2"
263980,"2,22,28,29,23,15","1,25,23"
316790,"2,22,28,29,23,14,43,44",25
233290,"2,22,28,29","1,25,3"
248390,"2,1,9,22,29,30,23,17","23,3,28,2"
496300,"2,22,28,29,23,41,42,43","23,28,2"
581620,"2,22,29","73,28"
222480,"2,1,9,22,28,29,23,8","1,25"
375230,"1,20,49,36,9,38,22,29,35,18,15","1,25,37,29"
271240,"2,1,49,36,9,38,27,22,29,30,18,23,15,17","23,28,2"
263060,"1,27,29,30,18,17","1,23"
282800,"2,1,49,36,9,38,22,29,23,8,15,25","23,2"
564710,"2,22,29,35,23","4,37,3"
589870,"2,22,29,35,23,15","1,4,37,23,28,2"
474750,"2,22,28,29","25,23,3,28"
242680,"2,1,24,22,28,23,15,25,43,44","1,23,3"
394230,"2,1,49,36,9,38,22,28,29,23,43",1
645630,"2,22,29,30,18,23,15,17","9,28"
282140,"2,22,28,29,30,23,43,44","1,25,23"
285920,"2,1,49,36,9,38,22,29,30,18","1,23"
637650,"2,1,49,36,9,38,22,28,29,23,42",3
641990,"2,1,49,36,37,9,38,39,24,22,28,29,23,25,41,42,43,44","23,28,2"
302590,"1,20,49,36,9,38,27,22,29,35,23,17","1,4,37,23,29,9,2,70"
610080,"2,22,29,35","37,3,2"
242640,"2,22,28,29,23,43",1
247910,"2,1,9,22,29,18,23,25","1,25"
231160,"2,22,28,29,43","1,25,23"
410900,"2,1,49,36,47,9,38,48,22,29,30,23,25,17","1,2"
648350,"2,22,28,29,23,43","28,2"
34900,"2,22,29",23
226860,"2,1,49,36,9,38,22,29,30,15","23,2"
270150,"2,1,49,36,9,38,27,22,29,30,23","1,23"
554620,"2,22,28,29,23","1,25"
351030,"2,22,28,29,23,15,25","4,37,23,28,18,2"
644560,"2,22,29,23,41,42","25,23,3"
222940,"2,1,49,37,22,28,29,23,25,44",1
446150,"2,1,49,36,27,22,28,29,35","1,4,37,2"
345180,"2,1,9,39,27,22,28,29,23,43,44","1,25,23,3"
234390,"2,22,28,29,23","1,23"
361280,"2,22,29,23","23,28,2"
225420,"2,1,9,27,22,29,30","28,2"
490220,"2,1,49,36,22,29,35","37,23,28,2,70"
233980,"2,1,9,22,29,18,23,17,42","1,23,3"
95400,"1,9,24,27,22,28,29,23,25,44","1,25,23"
338180,"1,27,22,29","1,37"
678950,"2,1,49,36,37,24,22,28,29,23,41,42,43,44",1
553640,"2,22,28,29,23,15","1,25,3"
302670,"2,1,49,36,9,38,22,29,30,35,18,23,15,25,17","1,23,28,2"
485610,"1,49,36,9,38,27,22,29,35","1,4,23,29,28,18"
278360,"2,22,28,29,23","25,4,23"
347560,"2,22,28,29","25,23,3,70"
230050,"2,22,29,25",23
460790,"2,22,28,29,23,41,42,43","1,25"
414340,"2,22,28,29,23,43","1,25,23"
274900,"2,1,49,36,37,9,38,39,24,27,22,28,29,30,17,44","1,4,23"
795100,"2,22,28,29,35,23","73,74,4,37,23,2"
257350,"2,1,9,27,22,29,13,23","3,2"
232790,"2,28,29,23","25,4,23"
516750,"2,22,29,18,23","23,9,28,70"
289950,"2,1,9,38,27,22,29,30,18,23","4,28"
304240,"2,22,28,29,23,25","1,25"
400250,"2,1,20,22,28,29,31","25,23,29"
487220,"2,22,29,18,25","4,23"
351970,"2,1,24,22,28,29,23,41,42,43,44",3
595340,"2,22,29","73,74,1,25,23"
418240,"2,22,28,29,23,43","23,2"
282900,"2,22,28,29,23","3,2"
45000,"2,1,49,36,47,9,38,48,22,29,18,23,25","23,2"
414530,"2,1,20,22,29,13,35","37,29,3"
329430,"2,22,28,29,25","1,3,28"
263760,"2,22,29,30,18,15,25,17","1,23,28"
359050,"2,22,29,25","1,23,28"
283640,"2,1,24,22,28,29,43,44","1,23,3"
307880,"2,1,9,38,22,29,23","1,25,23,3,28,70"
270450,"2,1,9,24,22,28,29,30,23,15,25,44","1,23,18"
297020,"2,22,28,29,23","1,4,23,2"
308040,"2,22,28,29,13,23,43","1,4,23"
214360,"2,1,49,36,9,38,27,22,29,30,23,8,15,25","1,23,2"
243970,"2,22,29,23,42","1,23,2"
319910,"2,1,9,38,39,24,22,28,29,30,23,17,43,44","1,25,23"
315430,"2,1,24,22,29,18,44","1,25,23,2"
449680,"2,22,29","1,4,23"
414700,"2,22,28,29,23,43","1,25,23"
409160,"2,22,29,13,18,14","37,23"
418340,"2,1,49,36,9,38,22,28,13,23,43","1,25,23"
247020,"2,1,24,22,28,29,23,25,43,44","1,23,28,2"
480430,"1,49,36,22,29,15","1,37"
257750,"2,1,49,36,37,9,38,39,24,22,28,29,30,15,17,44","1,25,4,23"
402840,"2,22,29","4,37,23"
258520,"2,22,28,29,23,43","25,23"
443810,"2,22,28,29,23,43","25,23,2"
